MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,Temperature,Humidity,Rainfall
5,5,4,5,5,4,7,1,6,12,9,4,4,2,1,6,3,2,8,6,0.495,9.53,,3
4,5,1,5,3,1,6,3,9,5,5,3,8,6,4,5,7,4,7,7,0.49,7.88,,42
4,2,6,5,5,6,6,6,4,2,6,5,1,4,7,6,6,6,7,4,0.49,9.42,,42
7,5,2,4,8,7,4,6,5,4,7,4,5,1,5,5,7,5,6,4,0.505,9.31,,35.6
7,5,8,4,3,3,7,5,8,8,0,6,3,0,4,6,6,9,3,8,0.515,17.18,,35.6
8,2,3,3,5,2,5,6,4,9,5,5,6,4,3,7,4,9,3,5,0.49,11.18,,14.6
5,5,6,9,3,5,4,10,3,4,3,4,8,2,4,1,6,3,7,0,0.46,21.54,,14.6
5,3,7,10,7,5,4,2,6,6,8,9,5,5,6,3,3,7,3,4,0.54,11.97,,12
4,4,1,4,5,6,3,8,3,2,5,7,5,4,4,5,7,2,5,3,0.435,20.56,,12
3,2,7,3,2,4,2,7,3,3,4,3,4,8,8,9,8,3,5,4,0.46,21.06,,8
5,5,3,4,5,9,6,8,1,4,8,0,7,4,3,4,6,7,1,6,0.48,16.08,,8
8,3,6,4,7,3,7,4,6,5,4,7,8,6,3,7,9,9,6,1,0.565,16.81,,4.6
4,4,6,6,3,1,2,0,2,4,3,1,5,4,6,5,4,3,5,4,0.36,17.3,,4.6
2,4,8,8,6,7,5,3,9,5,3,4,3,6,1,8,4,2,4,2,0.47,15.02,,4.8
5,5,4,7,5,3,2,5,7,5,8,6,2,4,4,10,6,6,2,5,0.505,14.16,,4.8
10,8,5,3,3,5,11,5,4,3,6,5,7,2,3,4,4,4,6,7,0.525,14.53,,3
5,8,5,4,3,6,7,5,6,3,4,8,2,7,4,3,5,7,7,5,0.52,14.79,,3
3,6,10,3,3,5,2,3,7,7,3,3,3,8,9,5,7,8,6,7,0.54,19.59,,11.6
7,7,6,7,9,3,7,4,5,1,5,5,7,2,9,1,8,5,2,5,0.525,13.9,,11.6
8,6,4,4,5,5,8,4,7,9,9,7,3,5,3,5,3,6,3,5,0.545,14.96,,7
5,4,9,4,5,8,2,3,8,5,6,7,4,3,5,6,3,4,8,5,0.52,13.48,,7
5,6,7,6,2,10,2,8,3,3,4,5,4,9,5,4,5,4,2,7,0.505,11.85,,2.8
6,8,4,3,3,4,5,7,9,2,3,8,5,3,4,5,9,4,7,3,0.51,14.63,,2.8
7,6,5,5,6,5,9,7,4,6,5,4,6,5,7,3,8,0,3,1,0.51,13.58,,3
8,4,5,8,7,5,7,2,5,2,4,4,6,6,8,5,3,4,4,9,0.53,12.56,,3
4,3,8,5,7,5,6,5,2,7,3,2,5,4,4,4,9,8,6,5,0.51,21.86,,1.5
4,7,4,11,6,7,6,10,4,7,2,5,9,8,3,3,8,4,5,8,0.605,19.66,,1.5
4,5,2,10,2,6,4,5,4,2,3,8,4,5,5,3,7,3,3,6,0.455,19.91,,1
5,4,6,7,3,6,5,6,2,3,7,3,3,3,7,2,3,3,3,5,0.43,19.62,,1
3,7,9,4,6,2,2,3,6,7,6,4,4,5,3,3,11,4,5,11,0.525,11.02,,8.6
4,4,5,6,5,10,3,6,4,6,4,6,4,3,5,6,5,6,7,8,0.535,20.04,,8.6
6,2,3,2,5,4,5,2,8,7,7,2,4,6,5,10,4,5,8,6,0.505,16.16,,6.5
8,4,5,5,4,5,5,6,7,1,6,5,2,2,4,5,4,5,5,5,0.465,15.01,,6.5
4,5,3,5,2,6,7,6,7,6,9,7,4,5,6,7,3,5,4,3,0.52,10.98,,14
5,6,3,8,6,2,4,1,11,5,6,3,9,4,5,3,4,12,8,5,0.55,12.3,,14
8,3,2,4,6,5,3,4,5,3,3,5,4,6,5,6,2,3,5,4,0.43,14.05,,9.6
3,6,6,6,4,5,3,11,10,8,2,7,5,3,5,6,5,6,13,5,0.595,10.79,,9.6
4,4,3,4,5,5,7,8,7,10,0,3,2,9,3,4,11,8,6,6,0.545,10.15,,4
5,7,4,4,6,0,4,1,4,6,6,7,7,2,4,7,8,4,2,9,0.485,11.76,,4
2,2,5,6,4,5,4,6,5,1,10,5,4,3,4,4,5,1,4,1,0.405,13.99,,1.4
2,9,8,5,5,6,5,4,9,5,8,3,1,3,7,9,3,2,0,6,0.5,19.62,,1.4
3,3,6,11,7,9,10,6,10,9,7,5,6,3,2,5,3,3,7,2,0.585,16.8,,17.4
6,2,5,4,4,4,2,8,3,12,3,3,4,1,5,7,2,3,4,10,0.46,23.2,,17.4
2,6,6,7,3,2,4,4,1,5,1,6,6,1,7,6,3,4,1,3,0.39,18.38,,10
5,5,8,6,2,5,6,3,4,8,3,13,4,5,7,5,3,2,3,5,0.51,21.91,,10
7,7,9,8,2,7,4,3,5,9,5,8,8,3,9,4,5,5,8,1,0.585,19.61,,0.2
3,7,6,6,5,5,6,6,6,1,4,4,4,3,4,5,3,6,4,6,0.47,18.36,,0.2
3,2,6,9,7,2,3,4,2,9,8,5,5,10,4,10,4,5,2,3,0.515,16.26,,0.3
5,4,3,6,3,5,7,4,4,10,3,8,2,6,5,14,6,5,7,5,0.56,12.82,,0.3
5,4,6,3,5,3,3,4,11,3,4,4,7,8,3,5,8,6,9,6,0.535,22.43,,16.2
4,5,4,2,8,2,3,9,6,3,5,5,3,3,6,5,2,5,4,3,0.435,15.45,,16.2
9,6,4,8,5,9,5,6,4,6,3,3,8,10,7,4,1,4,3,6,0.555,15.3,,6.5
6,8,6,8,2,4,7,4,4,3,2,3,7,4,3,3,6,6,7,8,0.505,21.27,,6.5
3,3,9,6,4,10,6,5,7,2,11,6,3,5,9,12,6,3,5,4,0.595,16.88,,9.5
5,3,5,1,7,10,5,6,7,8,3,4,3,3,6,7,5,4,6,6,0.52,10.21,,9.5
7,3,5,5,7,3,4,4,4,5,8,5,4,4,1,5,6,6,4,4,0.47,20.49,,8
5,2,2,5,3,5,3,10,7,4,4,8,7,3,2,3,3,4,7,6,0.465,22.62,,8
9,8,3,4,1,6,8,7,6,6,5,4,6,8,7,4,10,6,5,4,0.585,21.77,,7.4
3,4,2,5,9,3,1,4,4,5,5,9,5,8,9,6,5,6,4,1,0.49,17.43,,7.4
3,5,2,4,7,5,6,5,4,2,2,4,8,6,6,3,7,5,5,6,0.475,20.91,,6
8,7,6,7,5,3,5,7,6,4,6,5,4,4,7,3,5,5,6,7,0.55,16.01,,6
2,3,6,4,6,4,3,6,8,6,5,2,6,5,4,3,3,6,8,3,0.465,20.73,,1.5
5,5,1,6,1,8,2,6,7,4,4,3,6,0,2,6,6,4,9,8,0.465,14.05,,1.5
8,3,9,5,6,4,4,3,5,2,3,5,4,8,8,4,5,9,4,6,0.525,15.06,,22.5
3,2,5,6,1,3,4,4,7,4,3,2,6,4,4,4,4,3,6,7,0.41,11.93,,22.5
7,3,8,6,4,5,3,6,4,6,8,7,7,8,2,5,7,9,3,3,0.555,22.91,,18
7,5,7,4,4,3,3,4,5,3,5,5,6,4,3,3,5,7,0,6,0.445,20.01,,18
7,6,5,2,6,6,4,7,6,8,3,5,3,4,5,5,4,4,8,8,0.53,19.19,,1.4
4,6,7,7,2,6,6,8,1,4,10,7,4,4,3,6,6,6,6,6,0.545,22.15,,1.4
3,4,7,2,5,8,9,3,6,10,3,5,6,8,7,4,7,4,4,8,0.565,19.65,,4
1,6,4,3,6,11,8,7,5,2,2,5,4,2,5,4,3,4,3,2,0.435,8.39,,4
7,3,4,5,3,2,3,9,4,4,5,10,3,6,7,4,2,4,2,4,0.455,7.84,,3.4
11,4,6,6,4,2,6,8,6,5,9,1,7,4,4,9,3,3,7,6,0.555,19.65,,3.4
6,4,5,4,8,6,5,5,5,7,4,3,3,4,3,8,5,3,7,1,0.48,9.55,,50
5,2,5,6,4,4,6,5,4,7,4,5,6,8,4,5,2,7,4,2,0.475,6.29,,50
5,8,4,4,3,6,3,2,3,6,4,4,3,1,6,7,2,6,3,5,0.425,15.49,,40.6
5,1,5,9,11,10,6,5,4,6,4,3,1,3,3,4,4,2,4,8,0.49,10.39,,40.6
7,7,10,3,6,3,6,3,3,2,7,9,4,2,4,3,5,5,4,5,0.49,6.62,,16
2,5,5,5,7,6,4,1,2,7,7,5,5,6,3,5,5,8,8,3,0.495,14.16,,16
5,8,4,2,6,3,2,5,5,7,5,1,3,4,5,3,3,3,5,9,0.44,17.24,,8
5,1,7,4,7,3,6,3,4,6,11,5,3,4,8,5,6,7,4,7,0.53,12.74,,8
3,7,3,6,4,4,5,3,9,8,5,9,4,7,3,2,7,1,3,9,0.51,13.93,,1.6
3,5,4,4,3,7,4,8,5,5,6,7,10,5,4,3,5,5,2,5,0.5,15.4,,1.6
2,3,5,6,6,5,5,6,5,3,6,7,3,4,5,2,7,5,5,4,0.47,12.46,,27.9
6,5,8,1,6,3,3,1,7,5,8,7,3,4,4,5,7,3,7,2,0.475,11.66,,27.9
3,6,6,5,3,3,5,5,7,6,0,8,3,5,4,6,4,3,2,7,0.455,12.24,,15
6,8,5,4,3,8,6,5,2,7,4,8,7,4,5,3,5,8,5,3,0.53,15.13,,15
3,2,8,5,7,1,4,4,3,6,5,3,6,10,7,4,2,7,1,5,0.465,18.42,,22
6,2,3,7,9,8,5,7,4,3,3,4,5,9,4,2,11,1,4,9,0.53,13.57,,22
4,3,3,1,7,6,2,4,7,6,4,3,5,6,4,6,4,7,3,6,0.455,16.93,,6
4,1,8,2,4,5,5,2,4,3,7,6,4,5,1,6,5,5,4,4,0.425,19.58,,6
6,2,5,2,5,4,7,5,6,5,7,2,4,3,6,6,4,8,6,6,0.495,10.53,,0.2
8,10,3,6,6,5,4,7,3,5,6,7,9,5,6,4,6,7,5,5,0.585,10.55,,0.2
3,6,6,7,4,6,3,5,3,5,6,10,5,1,2,3,4,8,4,7,0.49,12.47,,2.4
4,6,3,6,4,5,4,1,5,8,6,10,6,7,4,6,5,4,4,6,0.52,10.9,,2.4
10,6,2,9,3,6,6,2,8,10,2,6,4,5,0,4,2,4,1,6,0.48,13.25,,18
5,1,2,5,10,5,6,4,8,5,5,2,9,4,5,2,4,8,5,4,0.495,16.41,,18
4,5,4,4,5,7,3,3,3,7,3,6,6,6,3,3,2,3,2,4,0.415,19.68,,17.1
4,4,9,10,6,6,3,6,3,6,6,5,4,5,5,3,8,3,1,6,0.515,19.61,,17.1
7,4,2,5,8,5,4,6,3,2,6,3,6,1,5,8,4,0,6,9,0.47,12.14,,69.3
3,6,4,3,1,3,4,5,2,8,2,4,3,4,4,2,6,5,10,6,0.425,12,,69.3
7,5,6,6,5,1,3,3,7,2,2,5,5,2,1,9,9,7,2,4,0.455,15.86,,28
5,2,4,4,3,5,1,6,2,8,1,5,5,4,5,6,4,4,4,5,0.415,10.4,,28
4,1,5,3,8,4,4,4,5,9,3,6,4,6,5,6,3,1,5,7,0.465,10.6,,25.8
3,2,6,6,4,4,6,4,4,4,4,8,3,2,7,7,8,4,5,3,0.47,20.08,,25.8
5,3,8,3,9,4,3,5,4,5,2,7,6,5,2,7,4,6,4,4,0.48,11.36,,18
2,4,8,4,8,2,3,4,5,3,2,6,7,5,6,8,6,10,5,8,0.53,16.48,,18
6,5,2,7,2,3,4,5,8,5,4,6,3,4,3,5,6,5,3,6,0.46,10.16,,31.9
8,7,3,4,7,6,3,7,5,6,5,4,6,2,3,4,5,6,3,6,0.5,10.2,,31.9
2,11,2,2,5,5,2,8,7,7,8,5,2,6,6,8,6,5,3,4,0.52,14.17,,28
2,7,10,6,4,1,11,7,2,2,2,2,7,4,3,5,3,6,6,4,0.47,15.8,,28
3,4,10,6,8,5,6,1,6,5,5,5,5,9,4,0,1,3,1,3,0.45,10.76,,4
3,6,9,5,5,4,10,7,9,6,2,3,7,4,10,3,2,3,9,3,0.55,11.57,,4
4,8,6,6,4,1,3,1,4,6,1,6,9,3,7,8,5,4,3,5,0.47,18,,3.3
1,1,7,4,1,7,9,3,3,4,5,5,2,10,6,4,1,5,4,3,0.425,13.79,,3.3
5,8,10,7,3,5,6,11,4,3,5,4,7,4,8,5,4,4,6,3,0.56,13.07,,5.4
7,0,2,5,1,7,6,1,7,5,1,7,8,5,8,3,2,3,5,1,0.42,13.47,,5.4
2,7,4,4,3,6,8,2,3,6,7,3,4,2,7,7,2,5,2,7,0.455,14.02,,42.2
8,3,4,4,1,3,7,4,5,3,3,5,3,7,2,3,4,7,6,5,0.435,13.61,,42.2
2,3,6,5,5,7,7,5,2,8,4,6,5,6,3,10,5,9,5,5,0.54,18.91,,38
2,6,8,5,6,5,3,9,3,7,6,6,1,0,4,5,5,6,7,3,0.485,12.95,,38
8,2,2,3,5,1,4,8,3,2,7,6,3,1,4,2,9,7,5,3,0.425,20.44,,7
7,8,8,2,7,4,4,6,4,7,4,6,6,6,3,4,5,6,5,5,0.535,12.37,,7
3,3,4,3,7,10,7,1,7,9,4,2,2,5,7,3,3,9,4,10,0.515,14.55,,2
5,1,5,9,8,4,6,8,7,4,5,6,4,3,4,6,1,10,7,7,0.55,15.68,,2
9,4,5,3,6,6,4,4,3,8,4,7,8,3,6,8,3,3,6,7,0.535,13.26,,1
7,2,6,7,2,8,6,4,2,9,3,5,2,1,11,4,4,7,3,4,0.485,19.66,,1
6,0,8,7,8,7,5,5,1,3,11,5,8,3,5,5,4,8,3,3,0.525,16.55,,7.6
6,6,3,9,4,5,8,6,6,7,2,3,11,5,9,4,4,2,6,1,0.535,13.54,,7.6
4,4,4,7,2,5,7,5,3,6,3,4,7,5,4,0,7,5,5,7,0.47,14.84,,7
4,4,9,3,3,7,5,6,3,6,6,6,4,1,8,5,5,3,3,6,0.485,10.98,,7
8,2,2,7,9,6,4,11,4,4,4,2,4,4,4,4,6,6,3,6,0.5,15.12,,0.4
5,6,3,3,7,6,9,0,10,7,3,5,5,9,8,3,7,3,4,9,0.56,14.75,,0.4
5,3,5,7,0,6,5,5,8,4,5,3,9,6,7,4,1,3,3,7,0.48,10.68,,1.4
2,2,4,2,5,6,3,7,4,5,4,3,5,2,3,6,5,3,6,9,0.43,13.81,,1.4
0,3,4,2,6,7,4,5,8,8,3,8,4,5,6,6,3,4,2,4,0.46,11.79,,3.2
6,4,3,12,3,8,8,5,1,3,6,13,4,8,4,5,4,3,2,8,0.55,14.96,,3.2
6,5,5,5,8,7,4,1,8,7,7,6,4,8,5,7,6,4,5,6,0.57,14.29,,13.3
4,6,5,2,3,5,11,3,8,4,7,6,0,3,7,4,8,9,8,3,0.53,15.06,,13.3
6,5,4,10,1,4,5,10,4,6,6,11,3,6,9,6,7,3,7,9,0.61,11.74,,0.3
4,6,6,9,5,7,6,3,3,6,4,6,5,3,3,2,7,9,3,6,0.515,14.51,,0.3
6,8,8,6,0,7,5,6,5,5,3,4,6,4,5,3,4,4,7,5,0.505,20.7,,3.2
3,4,4,9,4,5,5,7,3,8,8,5,4,7,4,3,8,8,6,7,0.56,22.05,,3.2
9,2,4,3,6,2,4,7,4,5,6,11,5,4,1,7,2,4,6,8,0.5,21.18,,7
4,9,4,3,5,2,9,5,9,3,4,11,3,2,4,5,2,2,6,4,0.48,17.19,,7
3,5,5,4,9,9,8,6,4,9,5,5,6,5,5,10,5,3,4,7,0.585,13.71,,0.5
3,4,3,5,2,4,6,0,7,6,8,6,7,5,6,5,2,3,7,2,0.455,14.21,,0.5
2,3,3,4,11,3,9,9,9,4,3,5,7,9,5,4,4,3,5,5,0.535,13.73,,6.4
5,4,4,6,4,6,10,7,7,7,4,6,5,3,7,6,5,4,3,4,0.535,21.91,,6.4
4,4,7,6,6,7,8,7,4,5,4,4,1,5,5,3,7,5,5,10,0.535,20.99,,5.8
6,4,6,6,3,5,6,6,3,6,3,12,4,5,2,6,3,2,1,5,0.47,21.93,,5.8
3,3,6,5,2,3,3,9,4,9,2,6,4,5,1,8,3,5,7,3,0.455,14.02,,1.1
2,7,4,3,6,2,7,6,9,2,5,5,7,3,5,6,3,6,4,5,0.485,13.99,,1.1
4,4,8,1,5,4,5,3,6,4,7,6,6,4,2,10,3,7,5,6,0.5,20.87,,0.4
5,4,2,2,7,6,6,7,4,8,7,2,10,6,7,8,3,4,3,6,0.535,19.63,,0.4
1,1,7,5,6,2,8,5,4,5,1,3,4,5,5,8,4,3,7,2,0.43,9.04,,13.6
8,6,4,2,3,6,7,4,3,3,4,4,3,8,8,1,6,4,3,4,0.455,14.39,,13.6
5,4,6,5,4,6,3,3,7,2,6,7,4,7,2,5,2,7,8,5,0.49,7.48,,3.6
6,4,7,4,1,5,2,6,5,4,8,4,6,3,5,5,6,1,4,3,0.445,13.44,,3.6
5,5,10,2,5,5,8,8,5,3,4,4,3,3,6,3,3,5,4,5,0.48,8.54,,17.6
3,4,6,7,3,5,3,4,2,6,5,7,3,5,3,8,6,4,9,7,0.5,9.62,,17.6
3,7,2,2,4,6,5,5,5,6,3,7,4,3,5,4,0,7,2,6,0.43,8.49,,1.6
9,9,7,3,8,7,13,10,6,4,9,4,5,2,4,2,7,10,4,8,0.655,9.6,,1.6
4,4,6,6,6,3,2,8,5,6,7,4,6,3,8,6,8,5,7,3,0.535,14.44,,3
7,4,1,2,6,7,4,3,2,3,5,3,2,6,7,4,4,4,4,5,0.415,8.53,,3
4,3,5,5,5,5,5,5,9,6,6,4,8,5,3,5,4,7,5,4,0.515,19.63,,1.8
4,5,7,5,3,5,2,10,6,6,1,8,7,8,6,5,3,2,5,3,0.505,8.54,,1.8
4,3,6,3,5,3,7,2,8,6,4,3,4,5,4,4,5,6,6,4,0.46,10.41,,1.7
2,3,2,2,2,3,4,7,6,13,6,5,3,6,5,4,5,3,7,5,0.465,9.16,,1.7
2,4,3,4,4,5,7,4,4,3,7,5,6,3,3,6,4,3,2,5,0.42,14.3,,2.1
2,7,9,6,4,3,4,6,7,12,4,3,3,3,7,7,1,1,9,5,0.515,15.56,,2.1
8,11,4,4,1,4,4,5,6,5,2,5,9,6,4,5,3,6,5,4,0.505,9.11,,3
2,2,2,2,5,6,6,1,4,5,8,3,2,8,5,5,1,8,2,4,0.405,11.15,,3
4,3,7,8,6,5,4,4,3,1,8,12,7,2,3,8,2,2,4,5,0.49,13.9,,0.7
6,2,6,4,1,2,5,6,7,8,4,2,5,3,4,5,5,6,3,5,0.445,9.81,,0.7
7,10,4,5,6,6,4,5,4,3,7,7,4,8,4,3,5,7,5,3,0.535,10.53,,1
6,7,6,7,6,7,7,5,9,1,2,4,2,6,8,4,5,8,3,4,0.535,13.92,,1
6,5,9,3,5,4,6,7,2,4,2,4,4,7,6,4,3,4,7,6,0.49,13.48,,1.2
6,7,3,4,8,6,4,6,6,7,5,5,6,7,7,4,5,8,6,1,0.555,12.28,,1.2
0,3,6,6,6,6,9,2,5,1,7,5,5,7,5,5,4,6,2,5,0.475,8.15,,31.2
3,1,3,5,6,12,5,6,6,2,5,2,2,4,6,3,5,6,10,3,0.475,13.51,,31.2
6,3,10,1,4,5,3,8,7,4,5,5,5,4,3,5,5,4,7,8,0.51,19.59,,1.4
8,5,4,5,1,7,6,5,7,2,6,4,7,0,6,12,4,6,4,4,0.515,12.71,,1.4
3,7,5,3,1,2,4,8,9,6,0,3,7,4,6,4,2,4,0,3,0.405,12.02,,0.7
7,3,6,8,7,6,5,3,3,7,10,6,4,7,5,5,4,7,4,4,0.555,19.63,,0.7
5,5,2,5,4,4,3,5,2,2,3,6,1,5,4,3,3,6,4,5,0.385,19.62,,13.3
4,5,8,7,7,7,5,3,6,6,8,6,6,3,4,1,7,4,4,4,0.525,16.77,,13.3
4,7,4,3,7,11,3,2,5,6,1,4,8,6,6,3,4,6,9,7,0.53,19.61,,0.7
2,8,2,10,3,3,2,8,3,5,1,6,6,4,9,6,5,4,3,6,0.48,14.63,,0.7
9,7,3,2,5,6,1,5,7,4,4,7,6,4,5,2,6,7,3,9,0.51,15.32,,32.2
4,1,4,6,3,6,2,5,7,7,3,5,5,5,1,3,4,5,4,3,0.415,12.48,,32.2
4,7,11,6,2,10,8,3,8,3,5,2,6,5,5,3,9,5,0,2,0.52,13.8,,0.8
2,5,5,6,6,1,8,1,7,5,5,7,3,0,9,3,10,5,4,9,0.505,14.8,,0.8
6,5,4,3,1,6,3,6,5,6,5,2,6,4,8,4,6,5,3,8,0.48,14.61,,0.5
4,3,5,2,6,2,4,10,3,2,6,8,3,2,5,9,4,7,4,6,0.475,14.69,,0.5
5,2,5,5,4,2,4,9,5,6,7,5,4,9,5,2,9,4,6,8,0.53,16.6,,2
9,4,7,2,2,5,5,8,3,9,2,4,5,10,5,4,4,3,5,9,0.525,19.58,,2
10,5,9,7,5,5,7,6,4,4,4,6,6,4,4,5,7,5,7,1,0.555,17.19,,9
3,2,6,4,4,5,3,4,5,4,5,4,8,8,2,6,4,2,7,4,0.45,13.04,,9
4,5,4,2,2,4,2,3,3,5,7,2,4,7,3,1,11,2,6,4,0.405,14.59,,74.2
4,2,5,1,3,4,5,5,5,3,10,4,7,6,4,4,9,7,6,4,0.49,12.81,,74.2
6,8,9,3,1,8,8,2,4,3,6,4,5,9,4,6,5,2,4,2,0.495,23.34,,28
6,4,4,5,3,7,4,3,3,7,4,7,5,5,6,7,4,4,6,6,0.5,11.47,,28
7,7,2,4,3,3,4,6,2,5,3,9,8,10,6,4,6,9,7,9,0.57,15.68,,23.3
7,6,4,4,6,8,4,4,3,5,7,7,4,6,1,6,4,3,2,5,0.48,14.03,,23.3
2,4,7,7,5,7,2,3,7,4,6,8,8,3,5,6,2,3,7,4,0.5,19.05,,0.8
7,9,5,6,4,5,5,4,7,2,6,7,4,2,3,7,3,9,6,6,0.535,14.46,,0.8
4,5,6,4,8,9,4,4,7,5,3,7,1,7,4,5,8,5,4,3,0.515,16.98,,13.8
9,7,5,4,6,2,7,5,6,6,4,2,8,7,6,2,9,9,7,2,0.565,16.29,,13.8
5,6,5,2,4,5,2,5,4,8,6,5,9,6,5,4,2,6,11,4,0.52,20.68,,17.7
2,2,3,8,3,4,5,9,9,6,4,7,3,4,7,5,4,3,5,4,0.485,19.63,,17.7
5,10,4,8,6,6,7,4,6,3,6,5,2,4,4,4,6,6,2,3,0.505,21.61,,12
6,3,9,5,3,5,3,5,7,3,5,8,4,5,7,4,8,3,4,6,0.515,17.53,,12
9,3,1,8,3,4,8,6,5,1,3,7,9,5,2,5,7,3,3,6,0.49,17.1,,89.7
8,7,2,8,3,12,4,5,3,6,2,6,7,10,9,1,8,4,5,9,0.595,14.29,,51.2
9,5,7,9,4,7,4,9,9,3,1,4,6,4,6,4,7,4,3,2,0.535,22.59,,45.6
3,4,4,5,7,4,6,3,5,7,9,1,9,5,3,4,4,5,4,7,0.495,13.85,,17.5
4,8,3,10,3,5,2,0,6,4,5,1,5,5,7,3,5,2,5,7,0.45,24.33,,17.5
6,11,3,4,4,3,4,9,5,3,6,7,4,5,6,6,7,6,5,2,0.53,14.76,,10.2
6,3,8,9,6,6,4,7,4,4,7,3,10,3,5,5,6,3,4,9,0.56,22.61,,5.4
4,5,14,5,5,6,4,4,9,5,6,7,2,4,9,9,14,4,3,3,0.61,17.36,,8
6,2,2,5,6,4,8,4,13,7,6,5,8,2,4,2,2,5,4,6,0.505,19.65,,5
5,7,5,2,3,5,3,8,3,3,3,4,9,6,6,7,8,6,8,5,0.53,19.65,,2.2
11,5,4,8,7,8,4,7,9,4,5,2,7,9,4,5,9,4,5,3,0.6,22.68,,0.7
4,3,2,6,6,1,3,3,2,4,6,3,3,1,7,7,4,6,6,7,0.42,17,,28.57
5,2,6,2,4,6,6,4,2,4,12,5,3,5,4,9,7,4,4,6,0.5,23.07,,26.9
5,1,3,5,7,2,3,5,6,4,4,5,5,2,7,6,2,1,7,4,0.42,7.87,,24.5
6,3,7,4,6,3,2,4,3,4,3,5,2,1,2,5,6,3,5,8,0.41,20.35,,24.2
2,3,3,5,9,6,5,4,10,4,2,5,5,8,5,3,6,5,7,4,0.505,5.65,,19.25
3,7,5,5,3,7,4,4,7,10,3,3,3,1,6,7,10,5,7,5,0.525,19.65,,16.4
3,2,5,4,4,5,9,6,4,7,3,3,12,8,6,5,7,5,8,0,0.53,18.66,,9
4,5,3,4,4,6,5,7,2,3,4,6,5,7,2,7,3,6,4,7,0.47,22.43,,8.5
7,2,5,2,5,4,6,6,5,6,4,4,10,5,8,8,7,3,3,8,0.54,5.95,,0.7
4,7,1,5,6,5,7,5,2,7,10,5,5,8,2,10,8,6,7,3,0.565,22.29,,0.7
5,5,7,1,6,2,7,5,5,6,2,7,6,6,7,3,2,6,3,2,0.465,17.68,,28.7
7,5,4,5,3,3,4,7,7,8,7,7,5,6,3,6,7,5,4,10,0.565,21.9,,28.7
6,7,5,3,3,7,6,1,8,6,7,9,7,7,5,9,4,10,3,6,0.595,9.93,,4
7,2,6,5,3,3,2,5,6,2,4,5,12,1,6,5,7,7,4,4,0.48,17.11,,3
4,8,7,6,8,4,4,6,7,4,7,3,6,7,6,4,3,5,10,3,0.56,7.16,,11
2,12,3,3,7,6,2,2,8,5,6,2,3,5,6,6,2,3,4,4,0.455,19.25,,0.6
6,2,7,7,4,3,8,10,6,2,5,2,5,2,5,4,8,5,7,8,0.53,17.5,,0.6
7,7,8,8,6,3,1,4,4,2,6,2,6,8,5,6,5,6,3,5,0.51,22.18,,27.4
6,8,1,4,7,2,4,6,3,10,5,4,2,7,8,2,5,7,4,2,0.485,15.72,,2
8,6,5,4,4,4,5,4,3,6,4,5,2,4,5,11,3,6,2,2,0.465,21.2,,31.8
2,6,5,2,2,0,10,8,3,5,3,2,7,4,7,7,4,3,4,5,0.445,10.74,,31.4
4,7,4,5,6,6,6,1,2,5,8,5,7,9,8,0,7,2,4,4,0.5,16.02,,5.6
4,6,6,2,7,5,9,5,4,7,4,4,6,4,5,6,5,8,3,10,0.55,12.9,,5.2
3,5,4,5,6,7,11,3,6,3,5,6,5,4,5,5,8,6,6,9,0.56,16.85,,5.2
4,3,5,8,4,5,6,5,8,8,6,8,2,4,6,3,5,5,5,7,0.535,12.57,,5.2
4,7,6,5,3,4,1,5,8,6,5,2,6,4,9,7,3,4,8,6,0.515,17.28,,3
6,5,3,8,4,2,6,6,2,4,10,7,5,4,6,6,3,3,4,3,0.485,14.57,,45
5,4,5,6,4,1,7,12,5,3,7,8,2,4,6,4,6,7,4,3,0.515,16.61,,34
1,7,10,4,3,3,5,4,4,3,9,7,7,1,5,2,4,3,3,3,0.44,12.49,,11
3,6,7,5,4,3,3,4,5,4,3,0,4,9,2,4,2,3,7,4,0.41,16.23,,0.1
2,4,4,7,6,5,5,8,3,4,6,4,8,7,6,3,7,6,5,9,0.545,10.39,,0.1
3,4,3,4,5,6,5,6,7,3,8,3,5,2,5,7,8,4,4,6,0.49,19.61,,0.1
4,7,9,4,8,5,4,2,7,10,0,6,2,7,5,9,3,3,6,5,0.53,12.59,,15
5,1,4,6,3,4,8,8,2,5,4,8,8,7,3,4,7,6,7,7,0.535,15.75,,9.6
6,6,9,1,9,8,6,5,4,7,1,4,5,6,3,9,4,5,4,8,0.55,12.79,,9.2
2,7,2,4,3,5,5,8,3,10,1,6,5,1,10,5,6,4,5,2,0.47,12.51,,7.4
5,3,7,8,3,7,4,7,4,4,4,4,5,4,4,6,6,9,4,8,0.53,11.29,,7.4
7,8,5,6,3,7,4,6,5,3,4,4,3,3,6,2,10,6,7,3,0.51,19.59,,7.4
7,8,5,2,7,2,7,5,4,6,4,6,4,9,4,5,6,9,4,3,0.535,19.62,,4.6
8,6,4,7,3,6,8,7,5,6,6,11,4,4,8,7,4,5,3,9,0.605,15.52,,0.4
